iter	Logloss
0	0.5573919642
1	0.4854709442
2	0.450300057
3	0.4298844288
4	0.4138216159
5	0.398135682
6	0.3905057918
7	0.3802073795
8	0.3759454457
9	0.3628413081
10	0.3594145412
11	0.3563003539
12	0.3528165653
13	0.3486014626
14	0.3433511699
15	0.3407656901
16	0.3379458149
17	0.3349875648
18	0.330808538
19	0.3246929532
20	0.3229104793
21	0.3209202119
22	0.3154499381
23	0.3117415977
24	0.3101679433
25	0.3082550355
26	0.307721764
27	0.3057554029
28	0.3038761398
29	0.3008356941
30	0.2978758288
31	0.2963779251
32	0.292305514
33	0.2905007838
34	0.2875511086
35	0.2862030398
36	0.282315275
37	0.2794933242
38	0.2747359542
39	0.2733117353
40	0.2703338882
41	0.2689255965
42	0.264942347
43	0.2571133317
44	0.2553797823
45	0.2533004167
46	0.2510735518
47	0.2475637893
48	0.243166246
49	0.2408056301
50	0.2387100295
51	0.237098773
52	0.2360139435
53	0.2344334445
54	0.2309447957
55	0.2294198737
56	0.2278443232
57	0.2253972153
58	0.2238749338
59	0.2228277455
60	0.2206489168
61	0.2201340232
62	0.2188246403
63	0.2174237634
64	0.2158121172
65	0.2141953791
66	0.2129853584
67	0.2096817609
68	0.2076135607
69	0.2063182231
70	0.2043597761
71	0.2035830641
72	0.2024653866
73	0.2013871105
74	0.1999675406
75	0.1983668347
76	0.1972893923
77	0.1960056679
78	0.1943328882
79	0.1930208254
80	0.1919703049
81	0.1909257713
82	0.1899668371
83	0.1872203779
84	0.1857170857
85	0.1842456769
86	0.1829767856
87	0.1823556359
88	0.1807214028
89	0.1789073088
90	0.1783117833
91	0.1775021467
92	0.1767672997
93	0.1757246824
94	0.1747632761
95	0.1736739647
96	0.1734534387
97	0.1723247158
98	0.1716459582
99	0.1700066445
100	0.1690961916
101	0.1680005479
102	0.1669931462
103	0.1656288013
104	0.1643872468
105	0.1633402484
106	0.1628207078
107	0.1624080258
108	0.1612014077
109	0.1597920706
110	0.1589291321
111	0.1579272666
112	0.1569628927
113	0.156160814
114	0.1554121567
115	0.1547013169
116	0.1539930706
117	0.1532853085
118	0.1525361688
119	0.1517488713
120	0.150894644
121	0.1502592499
122	0.1495820122
123	0.1488917149
124	0.1480159421
125	0.1476259996
126	0.147191171
127	0.1467722819
128	0.1464189737
129	0.1451614888
130	0.1442051075
131	0.1433673575
132	0.1428308708
133	0.1417597689
134	0.1413515748
135	0.1409391652
136	0.1406438544
137	0.1400667161
138	0.1395602163
139	0.1388424684
140	0.1382463125
141	0.1374232859
142	0.1368078203
143	0.136394754
144	0.1360635575
145	0.1358757739
146	0.1353402449
147	0.1349709087
148	0.1343565264
149	0.1336655605
150	0.1331700044
151	0.1324838657
152	0.1320744267
153	0.1319033934
154	0.1313922192
155	0.1306134623
156	0.1304466408
157	0.1297988105
158	0.1294847327
159	0.1283833366
160	0.1278713739
161	0.1275534971
162	0.1269917867
163	0.1267595366
164	0.1264203454
165	0.1258328465
166	0.1257128148
167	0.1253947472
168	0.1249618413
169	0.1243387037
170	0.1237737956
171	0.1234813302
172	0.1231011386
173	0.1228561482
174	0.1226644739
175	0.1224065751
176	0.1221899268
177	0.1217734731
178	0.1214590789
179	0.1209886672
180	0.1207007704
181	0.1204759745
182	0.1200907969
183	0.1198160023
184	0.1194980861
185	0.1191864122
186	0.1186296434
187	0.1179014462
188	0.1175707598
189	0.1174426596
190	0.1172555448
191	0.1166700954
192	0.1164710698
193	0.1159826552
194	0.1156834318
195	0.115610659
196	0.1153618885
197	0.1152694804
198	0.1145857103
199	0.1142516575
200	0.1140126954
201	0.1135275979
202	0.1134262442
203	0.1132778608
204	0.1130593631
205	0.1127425986
206	0.1124534149
207	0.1120866563
208	0.1119314741
209	0.1117016034
210	0.111373631
211	0.1109018615
212	0.1105651371
213	0.110340257
214	0.1102330177
215	0.1098448304
216	0.1096353593
217	0.1092852851
218	0.1090015278
219	0.1088150255
220	0.1084193339
221	0.1079618969
222	0.1077378978
223	0.1074546614
224	0.1071978312
225	0.1068594821
226	0.1062969156
227	0.1061924419
228	0.1060252298
229	0.1057732089
230	0.1054643516
231	0.1051193592
232	0.1048653006
233	0.1046769487
234	0.1045563135
235	0.1042422774
236	0.1038737611
237	0.1036464136
238	0.1034706854
239	0.1031355986
240	0.1028686035
241	0.10262981
242	0.102410202
