iter	Logloss
243	0.1020304274
244	0.1015405255
245	0.1014102103
246	0.1012649508
247	0.1010583516
248	0.1006782856
249	0.1004902479
250	0.1001918334
251	0.100040525
252	0.09980650989
253	0.09962157765
254	0.09946966013
255	0.09934098301
256	0.09916482604
257	0.09909792494
258	0.0989517606
259	0.09869568435
260	0.09857253857
261	0.09850156321
262	0.09828395276
263	0.09814108235
264	0.09796451806
265	0.09776818424
266	0.09762629258
267	0.09739683474
268	0.09718034721
269	0.09687640018
270	0.09669435207
271	0.0964499021
272	0.09614019342
273	0.09572211269
274	0.09553675831
275	0.09539427727
276	0.09515064924
277	0.09506302131
278	0.09474045025
279	0.09457813431
280	0.09440268309
281	0.09414011284
282	0.09391992774
283	0.09368763645
284	0.09359181991
285	0.09355269136
286	0.09346868979
287	0.09320615897
288	0.09293872076
289	0.0926870147
290	0.09239387872
291	0.09220876682
292	0.09210807134
293	0.09200854331
294	0.09188081968
295	0.09167454895
296	0.0915372846
297	0.09137296339
298	0.09128369791
299	0.09119162851
300	0.09110659176
301	0.09106091318
302	0.09095315463
303	0.09083468639
304	0.09061651513
305	0.09029620529
306	0.08999574642
307	0.08989853784
308	0.08980508314
309	0.08971132423
310	0.08958640862
311	0.08942284918
312	0.0893530284
313	0.08924303698
314	0.08901623928
315	0.08882958298
316	0.08873641862
317	0.08859570918
318	0.08855655828
319	0.08838966045
320	0.08836002197
321	0.08817954713
322	0.08811759697
323	0.08799034564
324	0.08787872824
325	0.0876902786
326	0.08760319367
327	0.08750595127
328	0.08737059827
329	0.08718016383
330	0.08707265632
331	0.08688582167
332	0.08675538856
333	0.08663521711
334	0.08649227671
335	0.08640381115
336	0.08626327334
337	0.0861800848
338	0.08610067872
339	0.08604262977
340	0.08597865656
341	0.08576372106
342	0.08566050787
343	0.08551181844
344	0.0854347721
345	0.08529434407
346	0.0851214213
347	0.08507728519
